AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
122,29,4,0,9,13,1,0,0,0,0,0,0,0.238,0.316,0.492,0.808,60,20.1214705882,0.795698924731,0.254,0.360655737705,5.84171726755
31,4,1,0,0,2,1,0,1,0,0,0,0,0.129,0.206,0.161,0.367,5,1.29705882353,0.333333333333,0.032,0.129032258065,1.29705882353
93,25,3,0,4,13,3,0,1,0,0,0,0,0.269,0.376,0.43,0.806,40,16.8062385321,0.838235294118,0.161,0.311827956989,6.67306529951
133,38,3,1,5,10,2,0,4,5,0,1,0,0.286,0.345,0.436,0.781,58,19.6397260274,0.69,0.15,0.218045112782,5.2502237895
110,27,3,0,4,19,1,0,1,0,0,0,1,0.245,0.359,0.382,0.741,42,17.307480916,0.759036144578,0.137,0.318181818182,5.56311886587
24,9,2,0,0,1,1,0,0,0,0,0,0,0.375,0.423,0.458,0.881,11,4.87384615385,0.866666666667,0.083,0.125,8.77292307692
20,4,0,0,1,3,0,0,0,0,0,0,0,0.2,0.304,0.35,0.654,7,2.36782608696,0.625,0.15,0.3,3.99570652174
85,14,4,0,3,2,0,1,2,0,0,0,1,0.165,0.182,0.318,0.499,27,5.24,0.43661971831,0.153,0.2,1.965
94,19,2,0,3,7,0,0,1,1,0,0,3,0.202,0.25,0.319,0.569,30,8.14903846154,0.486842105263,0.117,0.191489361702,2.78511441091
41,7,4,1,1,6,1,0,0,0,0,0,1,0.171,0.286,0.39,0.676,16,5.24,0.676470588235,0.219,0.365853658537,4.04228571429
52,12,3,0,1,0,0,0,1,0,0,0,0,0.231,0.231,0.346,0.577,18,4.27384615385,0.475,0.115,0.134615384615,2.88484615385
90,20,3,0,4,5,1,0,1,0,0,0,1,0.222,0.268,0.389,0.657,35,10.0783505155,0.6,0.167,0.233333333333,3.83261216785
75,17,5,0,1,7,1,0,5,0,0,0,0,0.227,0.301,0.333,0.635,25,8.93975903614,0.655172413793,0.106,0.266666666667,4.1616119651
110,27,10,1,3,27,1,0,0,0,0,0,0,0.245,0.399,0.436,0.835,48,22.031884058,0.915662650602,0.191,0.436363636364,7.1669984285
17,7,2,0,1,0,0,0,0,0,0,0,0,0.412,0.412,0.706,1.118,12,4.94117647059,1.2,0.294,0.294117647059,13.3411764706
59,10,3,0,1,9,0,0,0,0,0,0,0,0.169,0.279,0.271,0.551,16,5.12441176471,0.510204081633,0.102,0.254237288136,2.82365546218
96,28,5,1,2,5,3,1,2,0,0,0,2,0.292,0.34,0.427,0.767,41,15.2490566038,0.75,0.135,0.208333333333,5.88177897574
32,7,1,0,2,8,0,0,0,0,0,0,0,0.219,0.375,0.438,0.813,14,6.03,0.88,0.219,0.46875,6.5124
22,3,1,0,0,1,0,0,0,0,0,1,0,0.136,0.174,0.182,0.356,4,0.796666666667,0.263157894737,0.046,0.0909090909091,1.0755
17,4,1,0,0,1,0,0,1,0,0,0,0,0.235,0.278,0.294,0.572,5,1.60555555556,0.538461538462,0.059,0.176470588235,3.33461538462
99,28,3,1,4,12,3,0,1,1,0,0,0,0.283,0.377,0.455,0.832,45,18.2073684211,0.833333333333,0.172,0.292929292929,6.82776315789
29,3,0,0,1,5,0,0,0,1,0,0,0,0.103,0.235,0.207,0.442,6,1.50294117647,0.37037037037,0.104,0.241379310345,1.50294117647
51,10,3,0,0,5,0,0,0,0,0,2,0,0.196,0.268,0.255,0.523,13,3.96724137931,0.439024390244,0.059,0.156862745098,2.4910585405
88,33,6,0,4,19,0,3,0,0,0,1,0,0.375,0.486,0.58,1.066,51,26.8088888889,1.27272727273,0.205,0.420454545455,12.9257142857
29,4,0,3,0,2,1,0,0,0,0,0,0,0.138,0.219,0.345,0.564,10,2.358125,0.52,0.207,0.275862068966,2.546775
88,25,6,1,3,5,5,0,2,0,0,2,1,0.284,0.354,0.477,0.831,42,16.3564356436,0.857142857143,0.193,0.272727272727,6.69126912691
11,2,0,0,0,0,0,0,0,0,0,2,0,0.182,0.182,0.182,0.364,2,0.467692307692,0.222222222222,0.0,0.0,1.14797202797
17,3,0,0,0,0,0,0,0,0,0,1,0,0.176,0.176,0.176,0.353,3,0.586666666667,0.214285714286,0.0,0.0,1.056
113,31,9,1,3,11,2,0,6,1,0,0,1,0.274,0.346,0.451,0.798,51,19.6445669291,0.831325301205,0.177,0.318584070796,6.31432508436
35,7,0,1,4,1,1,0,0,0,0,0,0,0.2,0.243,0.6,0.843,21,5.23459459459,0.821428571429,0.4,0.428571428571,5.04764478764
91,25,3,0,2,15,2,0,1,1,0,0,3,0.275,0.378,0.374,0.752,34,14.9594594595,0.761194029851,0.099,0.263736263736,5.77007722008
54,7,2,0,2,2,2,0,0,0,0,0,1,0.13,0.186,0.278,0.464,15,3.08745762712,0.404255319149,0.148,0.185185185185,1.73669491525
