AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
59,12,2,0,0,3,2,1,2,0,0,0,1,0.203,0.262,0.237,0.499,14,4.34153846154,0.446808510638,0.034,0.118644067797,2.44211538462
129,33,3,0,4,5,1,0,0,0,0,0,2,0.256,0.285,0.372,0.657,48,14.404379562,0.5625,0.116,0.15503875969,3.96855355281
97,19,2,0,6,8,0,1,0,0,0,0,0,0.196,0.257,0.402,0.659,39,10.4965714286,0.602564102564,0.206,0.288659793814,3.63342857143
76,16,5,0,1,7,0,2,1,0,0,0,1,0.211,0.274,0.316,0.59,24,7.21214285714,0.533333333333,0.105,0.210526315789,3.19225995316
84,27,6,0,2,8,2,0,2,1,0,0,3,0.321,0.381,0.464,0.846,39,16.4041237113,0.862068965517,0.143,0.25,7.26084164272
43,18,6,0,2,4,2,0,0,0,0,0,1,0.419,0.48,0.698,1.178,30,15.3984,1.44,0.279,0.372093023256,15.9906461538
79,15,5,0,6,11,2,1,0,1,0,1,0,0.19,0.304,0.481,0.785,38,12.0890322581,0.769230769231,0.291,0.417721518987,4.94551319648
23,3,0,0,0,1,0,0,0,0,0,0,0,0.13,0.167,0.13,0.297,3,0.543333333333,0.2,0.0,0.0434782608696,0.7335
47,11,2,1,0,3,0,0,1,0,0,0,0,0.234,0.28,0.319,0.599,15,4.564,0.527777777778,0.085,0.170212765957,3.423
124,39,9,3,5,9,2,1,0,0,0,0,0,0.315,0.37,0.556,0.927,69,26.5185185185,0.941176470588,0.241,0.314516129032,8.42352941176
119,42,3,3,3,12,2,2,8,0,0,1,1,0.353,0.418,0.504,0.922,60,28.3401481481,1.06493506494,0.151,0.319327731092,9.68587341772
91,23,5,1,3,6,0,0,5,1,0,0,0,0.253,0.299,0.429,0.728,39,12.458556701,0.710144927536,0.176,0.285714285714,4.87508740475
33,6,2,0,0,2,0,0,0,0,0,2,0,0.182,0.229,0.242,0.471,8,2.06702702703,0.37037037037,0.06,0.121212121212,1.92447343896
113,23,4,0,2,0,3,0,0,0,0,0,2,0.204,0.22,0.292,0.512,33,7.67220338983,0.4,0.088,0.0884955752212,2.25162490789
37,9,4,0,3,6,0,0,3,1,0,0,1,0.243,0.341,0.595,0.936,22,8.15818181818,1.03448275862,0.352,0.567567567568,7.34236363636
112,25,1,0,5,10,0,0,0,1,0,0,0,0.223,0.287,0.366,0.653,41,12.1508196721,0.568181818182,0.143,0.223214285714,3.7280923994
33,8,2,0,2,3,0,0,0,0,0,0,2,0.242,0.289,0.485,0.774,16,5.15842105263,0.76,0.243,0.333333333333,5.15842105263
