AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27,HIT
334,82,10,0,17,44,4,1,4,0,0,0,5,0.246,0.336,0.428,0.764,143,53.7131782946,0.77380952381,0.182,0.326347305389,5.64301873134,0
129,30,8,1,1,13,1,2,2,0,0,0,1,0.233,0.306,0.333,0.639,43,14.5688888889,0.59595959596,0.1,0.217054263566,3.9336,1
241,51,8,0,9,14,1,1,2,0,0,0,2,0.212,0.256,0.357,0.613,86,23.463255814,0.542105263158,0.145,0.211618257261,3.29952034884,0
205,51,7,1,9,20,0,2,1,1,0,0,4,0.249,0.31,0.424,0.734,87,28.8192139738,0.690322580645,0.175,0.273170731707,4.893828788,0
207,44,9,0,3,7,3,0,2,1,0,1,0,0.213,0.249,0.3,0.548,62,16.0847706422,0.44512195122,0.087,0.125603864734,2.63205337781,0
259,59,10,0,18,16,5,0,2,0,0,0,1,0.228,0.285,0.475,0.76,123,37.0163701068,0.73,0.247,0.316602316602,4.9723482233,1
248,65,10,1,6,17,2,0,13,2,0,0,1,0.262,0.313,0.383,0.696,95,32.806119403,0.675675675676,0.121,0.233870967742,4.76217862301,0
329,96,19,2,9,70,6,3,1,0,0,0,1,0.292,0.424,0.444,0.867,146,70.3335960591,0.957081545064,0.152,0.367781155015,8.1154149299,1
183,36,7,0,2,20,1,1,0,0,0,0,1,0.197,0.278,0.268,0.546,49,15.2148292683,0.47619047619,0.071,0.180327868852,2.77567831246,0
252,70,9,3,3,16,4,1,7,1,0,0,5,0.278,0.325,0.373,0.698,94,33.7942960289,0.655737704918,0.095,0.18253968254,4.85343613181,1
225,57,7,2,11,20,5,2,2,1,0,0,0,0.253,0.328,0.449,0.777,101,34.99848,0.751479289941,0.196,0.288888888889,5.59147313609,1
255,73,14,0,7,46,2,2,0,0,0,1,1,0.286,0.398,0.424,0.822,108,48.0032786885,0.857142857143,0.138,0.317647058824,7.04395937277,1
220,48,8,2,7,18,12,2,3,2,0,4,2,0.218,0.31,0.368,0.678,81,27.5975,0.64367816092,0.15,0.236363636364,4.139625,0
297,86,14,2,11,31,4,1,12,2,0,0,2,0.29,0.362,0.461,0.824,137,54.5547305389,0.854460093897,0.171,0.309764309764,6.85105918396,1
240,70,12,1,6,37,2,1,2,1,0,0,3,0.292,0.387,0.425,0.812,102,43.8434042553,0.830409356725,0.133,0.291666666667,6.8032868672,1
201,38,7,0,12,11,6,0,0,0,0,0,1,0.189,0.251,0.403,0.654,81,21.5831050228,0.601226993865,0.214,0.268656716418,3.55331607083,0
