FIRST_NAME,LAST_NAME,BA,OBP,SLG,OPS,TA,ISO,SECA,RC27
Khris,Davis,0.266,0.319,0.688,1.006,1.04255319149,0.422,0.484375,8.20207215541
Mitch,Haniger,0.27,0.324,0.54,0.864,0.891304347826,0.27,0.333333333333,6.76394366197
Ryon,Healy,0.279,0.313,0.574,0.887,0.886363636364,0.295,0.360655737705,6.82166125892
Stephen,Piscotty,0.219,0.306,0.375,0.681,0.64,0.156,0.28125,4.3032
Jurickson,Profar,0.177,0.212,0.323,0.535,0.490196078431,0.146,0.209677419355,2.46052447552
Domingo,Santana,0.349,0.423,0.587,1.01,1.17073170732,0.238,0.412698412698,11.3082789419
Marcus,Semien,0.323,0.384,0.538,0.922,0.977272727273,0.215,0.338461538462,8.71298630137
